First cities emerge in Mesopotamia,-3500
Great Pyramid of Giza completed,-2560
Code of Hammurabi issued,-1754
First Olympic Games in Greece,-776
Founding of Rome,-753
Persian Empire founded by Cyrus the Great,-550
Buddha attains enlightenment,-528
Construction of the Parthenon begins,-447
Death of Alexander the Great,-323
Qin dynasty unifies China,-221
Construction of the Great Wall of China begins,-220
Julius Caesar assassinated,-44
Edict of Milan legalizes Christianity,313
Council of Nicaea,325
Fall of the Western Roman Empire,476
Tang Dynasty established in China,618
Muhammad and his followers migrate from Mecca to Medina,622
Viking raids on Lindisfarne,793
Charlemagne crowned Holy Roman Emperor,800
Battle of Hastings,1066
First Crusade begins,1096
Fall of Constantinople to Crusaders,1204
Temujin adopts the title of Genghis Khan,1206
Magna Carta signed,1215
Marco Polo travels to China,1271
Hundred Years' War begins,1337
Black Death peaks in Europe,1348
Ming Dynasty established,1368
Printing press invented by Johannes Gutenberg,1440
Ottoman Empire captures Constantinople,1453
Columbus reaches the Americas,1492
Vasco da Gama reaches India,1498
Protestant Reformation begins,1517
Spanish conquest of the Aztec Empire,1521
Copernicus publishes heliocentric theory,1543
Elizabeth I becomes Queen of England,1558
Defeat of the Spanish Armada,1588
Jamestown colony founded,1607
Galileo improves the telescope,1609
Thirty Years' War begins,1618
English Civil War begins,1642
Qing Dynasty established in China,1644
Peace of Westphalia,1648
Isaac Newton publishes Principia Mathematica,1687
U.S. Declaration of Independence,1776
French Revolution begins,1789
Haitian Revolution begins,1791
Louisiana Purchase,1803
Napoleon becomes Emperor of France,1804
Battle of Waterloo,1815
First public railway opens,1825
Communist Manifesto published,1848
California Gold Rush begins,1848
Crimean War begins,1853
Emancipation Proclamation,1863
Meiji Restoration in Japan,1868
Invention of the telephone,1876
Statue of Liberty dedicated,1886
First modern Olympic Games,1896
Boxer Rebellion in China,1899
Wright brothers' first flight,1903
Russian Revolution,1917
League of Nations founded,1920
Discovery of penicillin,1928
United Nations founded,1945
India gains independence,1947
Chinese Communist Revolution,1949
Yuri Gagarin becomes first human in space,1961
Cuban Missile Crisis,1962
Apollo 11 lands on the Moon,1969
Fall of the Berlin Wall,1989
Dissolution of the Soviet Union,1991
World Wide Web introduced,1991
Wikipedia launched,2001
Facebook founded,2004
Arab Spring begins,2010
Fukushima nuclear disaster,2011
Discovery of Higgs boson,2012
Paris Climate Agreement,2015
Brexit referendum,2016